ordernumber;mainnumber;name;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;categories
G10035;G10035;Alex-Pol Uszka z miesem 450g x 8St.;Alex-Pol;5,00;15,12;0;;1;beliebig;;;;;;1;17
G10001;G10001;ADAMEK Babeczki Budyniowe 900g;ADAMEK;5,00;4,69;0;;1;beliebig;;;;;;1;16
G10002;G10002;ADAMEK Bajbuski 700 gr;ADAMEK;5,00;3,69;0;;1;beliebig;;;;;;1;16
G10003;G10003;ADAMEK Bobicoco 900gr;ADAMEK;5,00;5,59;0;;1;beliebig;;;;;;1;16
G10004;G10004;ADAMEK Bobifii 800gr;ADAMEK;5,00;4,49;0;;1;beliebig;;;;;;1;16
G10005;G10005;ADAMEK Kleo Owoce LENE 800 gr;ADAMEK;5,00;3,99;0;;1;beliebig;;;;;;1;16
G10006;G10006;ADAMEK Pomelo 700gr;ADAMEK;5,00;4,29;0;;1;beliebig;;;;;;1;16
G10007;G10007;ADAMEK Teofilki 800gr;ADAMEK;5,00;5,29;0;;1;beliebig;;;;;;1;16
G10008;G10008;Admiral Paprikarz Szczecinski 300g x 18St.;Admiral;5,00;14,22;0;;1;beliebig;;;;;;1;19
G10009;G10009;Agro Top Smalec 320 gr Gesu w lojku;Agro Top;5,00;1,89;0;;1;beliebig;;;;;;1;19
G10010;G10010;Agro Top Smalez Kaczy 320 g;Agro Top;5,00;1,59;0;;1;beliebig;;;;;;1;19
G10011;G10011;Agruf Sucha Krakowska  Wurst;Agruf;5,00;5,99;0;;1;beliebig;;;;;;1;19
G10012;G10012;AGRYF 300gr x12 st Turystyszna Konzerwa;Agruf;5,00;11,88;0;;1;beliebig;;;;;;1;19
G10013;G10013;Alex-Pol Kapytka Staropolska 450 gr x 8st;Alex-Pol;5,00;10,32;0;;1;beliebig;;;;;;1;17
G10014;G10014;Alex-Pol Kartacze z Miesem 500g x 8 st.;Alex-Pol;5,00;13,52;0;;1;beliebig;;;;;;1;17
G10015;G10015;Alex-Pol Kluski Slaskie 450g x 8 st.;Alex-Pol;5,00;11,92;0;;1;beliebig;;;;;;1;17
G10016;G10016;Alex-Pol Kluski Slaskie z Miesem 450g x 8 st.;Alex-Pol;5,00;11,92;0;;1;beliebig;;;;;;1;17
G10017;G10017;Alex-Pol Knedeli ze Sliwka 450 gr x 8st;Alex-Pol;5,00;14,32;0;;1;beliebig;;;;;;1;17
G10018;G10018;Alex-Pol Knedeli ze Truskawka 450 gr x8st;Alex-Pol;5,00;13,52;0;;1;beliebig;;;;;;1;17
G10019;G10019;Alex-Pol Krokety z Kapusta i Gryby 500 gr x 8 st Kart;Alex-Pol;5,00;14,32;0;;1;beliebig;;;;;;1;17
G10020;G10020;Alex-Pol Krokety z mjasem 450grx 8st;Alex-Pol;5,00;14,32;0;;1;beliebig;;;;;;1;17
G10021;G10021;Alex-Pol Pirogi z Grybami Lesnymi 450g x 8 st.;Alex-Pol;5,00;15,12;0;;1;beliebig;;;;;;1;17
G10022;G10022;Alex-Pol Pirogi z Jagodami 450g x 8 st.;Alex-Pol;5,00;15,92;0;;1;beliebig;;;;;;1;17
G10023;G10023;Alex-Pol Pirogi z Kapusta i Grybami 450g x 8 st.;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;17
G10024;G10024;Alex-Pol Pirogi z Kapusta i miesem 450g x 8 st.;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;17
G10025;G10025;Alex-Pol Pirogi z miesem 450g x 8 st.;Alex-Pol;5,00;13,52;0;;1;beliebig;;;;;;1;17
