ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle;;;;;;;;;;;
G10941;G10941;Kupiec Kasza Jatzmenna 4 x 100 gr;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;4;4;500;1;4;St;4;;0;0;;0;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;0
G10942;G10942;Kupiec Kasza Perlowa 4 x 100 gr;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;4;4;500;1;4;St;4;;0;0;;0;;;;;;;;;20;;;;;;;;;;;;;;;;;;25;14,99;;0
G10943;G10943;Kupiec Owsjanka 50 gr x 14 st;;Eigenmarke;5;0,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;14;14;500;1;14;St;4;;0;0;;0;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;0
G10944;G10944;Kupiec Ryz 4 x 100gr  x 12 st;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;0
G10945;G10945;Kurczak 55 g/ 40 st/ Pol - Nik;;Eigenmarke;5;0,85;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-31 09:36:02;;0;0;;40;40;500;1;40;St;4;;0;0;;0;;;;;;;;;51;;;;;;;;;;;;;;;;;;7;24,43;;0
G10946;G10946;Kurczak w GALARECIE 150 gr  DROS;;Eigenmarke;5;1,09;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-31 09:36:08;;0;0;;1;;500;;;;;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;50;7,99;;0
G10947;G10947;Kus Kus Danie 5 min 60gr x 8 st;;Eigenmarke;5;0,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-31 09:36:14;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;0
G10948;G10948;Kwidzyn Fasola Biala konserwowa 400g x 6St.;;Eigenmarke;5;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;20;7,8;;0
G10949;G10949;Kwidzyn Fasola czerwona konserwowa 400g x 6St.;;Eigenmarke;5;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;80;7,04;;0
G10950;G10950;La Buratschki Tarty  Domowy 430grx8st Lunjak;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;50;9,5;;0
G10951;G10951;La Buratschki Wiorki  430grx8st Lunjak;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;0
G10952;G10952;Lacata 135grx12st Aufstrich Mlekpol;;Eigenmarke;5;0,65;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;0
G10953;G10953;Laciate samo UHT Mleko 12St. x 1L.;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;0
G10954;G10954;Lapsy TBM kukuruzni 60 gr x 20 st;;Eigenmarke;5;0,35;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;20;20;500;1;20;St;4;;0;0;;0;;;;;;;;;62;;;;;;;;;;;;;;;;;;24;21,36;;0
G10955;G10955;Lech Bier 20Fl. x 0,5l;;Eigenmarke;16;14,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;20;20;500;1;20;St;4;;0;0;;0;;;;;;;;;70;;;;;;;;;;;;;;;;;;8;5,52;;0
G10956;G10956;Lech Mojito 0,5l x 20 st Bier;;Eigenmarke;16;19,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;20;20;500;1;20;St;4;;0;0;;0;;;;;;;;;70;;;;;;;;;;;;;;;;;;25;13,25;;0
G10957;G10957;lesne Mech 390grx7st;;Eigenmarke;5;1,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;7;7;500;1;7;St;4;;0;0;;0;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;0
G10958;G10958;Letzo 800gr x6 st;;Eigenmarke;5;2,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;10;14,9;;0
G10959;G10959;Lipton ( 100st x 2gr ) 10 st kart;;Eigenmarke;5;2,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
G10960;G10960;Lipton Herbata czar. Lemon 34g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
G10961;G10961;Lipton Herbata czar. Marakuja/Malina 32g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
