ordernumber;image;main;description;position;width;height;relations
G10035;http://shopware.p562114.webspaceconfig.de/media/image/6b/72/68/karta_01_z1.png;1;;1;0;0;
G10001;http://shopware.p562114.webspaceconfig.de/media/image/6d/b9/87/adamek-kekse-neu.png;1;;1;0;0;
G10002;http://shopware.p562114.webspaceconfig.de/media/image/34/bc/1f/adamek-kekse-neuViR1axpNuVD4X.png;1;;1;0;0;
G10003;http://shopware.p562114.webspaceconfig.de/media/image/55/94/e9/adamek-kekse-neuZmxLNZ9vpofrf.png;1;;1;0;0;
G10004;http://shopware.p562114.webspaceconfig.de/media/image/d4/a2/dd/adamek-kekse-neuHABs6rZ6E8ZGg.png;1;;1;0;0;
G10005;http://shopware.p562114.webspaceconfig.de/media/image/eb/55/76/adamek-kekse-neunivlKypj97dy7.png;1;;1;0;0;
G10006;http://shopware.p562114.webspaceconfig.de/media/image/a3/28/04/adamekazalie09.png;1;;1;0;0;
G10007;http://shopware.p562114.webspaceconfig.de/media/image/f5/03/b1/adamekazalie09j02b5H8Vp7ZcJ.png;1;;1;0;0;
G10008;http://shopware.p562114.webspaceconfig.de/media/image/12/5d/95/admiralpaprykarz300g.png;1;;1;0;0;
G10009;http://shopware.p562114.webspaceconfig.de/media/image/1b/3f/08/agro-topsmalec-gesi200gr.jpg;1;;1;0;0;
G10010;http://shopware.p562114.webspaceconfig.de/media/image/6e/6b/e3/agro-topsmalec-gesi200grfKITksSqia1Ib.jpg;1;;1;0;0;
G10019;http://shopware.p562114.webspaceconfig.de/media/image/04/cd/28/uszka-z-kapusta-i-grzybami_450g_alex-pol.png;1;;1;0;0;
G10020;http://shopware.p562114.webspaceconfig.de/media/image/32/e6/f8/krokety-alex-pol.png;1;;1;0;0;
G10062;http://shopware.p562114.webspaceconfig.de/media/image/0c/29/14/amino-zurek.png;1;;1;0;0;
G10052;http://shopware.p562114.webspaceconfig.de/media/image/34/27/1d/aminogulaszowaxxx.jpg;1;;1;0;0;
G10051;http://shopware.p562114.webspaceconfig.de/media/image/91/34/d2/aminogrzybowaxxx.jpg;1;;1;0;0;
G10038;http://shopware.p562114.webspaceconfig.de/media/image/21/10/ef/amino-barszcz-cherwonyxxx.png;1;;1;0;0;
G10049;http://shopware.p562114.webspaceconfig.de/media/image/da/7f/04/amino-flakixxx.png;1;;1;0;0;
G10039;http://shopware.p562114.webspaceconfig.de/media/image/0c/1e/cf/aminogrochowaxxx.jpg;1;;1;0;0;
G10055;http://shopware.p562114.webspaceconfig.de/media/image/d2/4a/e1/aminopomidorowaxxx.jpg;1;;1;0;0;
G10047;http://shopware.p562114.webspaceconfig.de/media/image/6c/26/e2/aminorosolxxx.jpg;1;;1;0;0;
G10045;http://shopware.p562114.webspaceconfig.de/media/image/bc/49/74/aminorosolpikantnyxxx.jpg;1;;1;0;0;
G10041;http://shopware.p562114.webspaceconfig.de/media/image/96/98/c2/aminogulaszowaxxx46YranKhmxEQ3.jpg;1;;1;0;0;
G10058;http://shopware.p562114.webspaceconfig.de/media/image/fd/de/db/aminorosolzlocistyxxx.jpg;1;;1;0;0;
G10043;http://shopware.p562114.webspaceconfig.de/media/image/d5/a1/b6/aminopierczarkowaxxx.jpg;1;;1;0;0;
G10011;http://shopware.p562114.webspaceconfig.de/media/image/4f/05/2c/Agruf-Sucha-Wurst.png;1;;1;0;0;
G10014;http://shopware.p562114.webspaceconfig.de/media/image/c9/0f/84/Alex-Pol-Kartacze-z-Miesem.png;1;;1;0;0;
